col1,col2
Dr. Murali Naik Bhukya,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponnam_prabhakar.jpg
Sri Donthi Madhava Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_prashanth_reddy_vemula.jpg
Smt. Konda Surekha,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ram_rao_pawar.jpg
Sri K.R. Nagaraj. K,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ramdas_maloth.jpg
Sri Revuri Prakash Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_revuri_prakash_reddy.jpg
Sri Naini Rajender Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_sriganesh.jpg
Sri Gandra Satyanarayana Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_srinivas_reddy_parige_(pocharam).jpg
Sri Payam Venkateswarulu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_tprakash_goud.jpg
Sri Koram Kanakaiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_trajasingh.jpg
Sri Kunamneni Sambasiva Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_talasani_srinivas_yadav.jpg
Sri Adinarayana Jare,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_thanneeru_harish_rao.jpg
Dr. Tellam Venkata Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_tummala_nageshwara_rao.jpg
Sri Tummala Nageswara Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_uttam_kumar_reddy_nalamada.jpg
Sri Ponguleti Srinivasa Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vakiti_srihari.jpg
Sri Bhatti Vikramarka Mallu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vedma_bhojju.jpg
Sri Ramdas Maloth,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vemula_veeresham.jpg
Smt. Matta Ragamayee,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vijayudu.jpg
Smt. Chittem Parnika Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vivek_venkat_swamy.jpg
Sri Vakiti Srihari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_yennam_srinivas_reddy.jpg
Smt. Anasuya Seethakka Dansari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/vacant.png
